"","name","longitude","latitude","prov","date","key"
"177","Argia pulla Hagen, 1865",-103.326748,20.743733,"gbif",2023-11-02,"4438850155"
"178","Argia pulla Hagen, 1865",-103.326674,20.743813,"gbif",2023-11-02,"4438842075"
"179","Argia pulla Hagen, 1865",-103.325713,20.743704,"gbif",2023-07-06,"4153515469"
"180","Argia pulla Hagen, 1865",-103.222983,18.746867,"gbif",2005-04-02,"2629312427"
"181","Argia pulla Hagen, 1865",-103.21848,18.745513,"gbif",NA,"2629042053"
"182","Argia pulla Hagen, 1865",-103.024267,19.008733,"gbif",2006-01-24,"2629309386"
"183","Argia pulla Hagen, 1865",-103.012035,19.017921,"gbif",NA,"2629040353"
"184","Argia pulla Hagen, 1865",-102.794783,18.72505,"gbif",2005-11-13,"2629321591"
"185","Argia pulla Hagen, 1865",-102.776745,18.732001,"gbif",NA,"2629041110"
"186","Argia pulla Hagen, 1865",-102.463111,19.103444,"gbif",2006-01-15,"2629310227"
"187","Argia pulla Hagen, 1865",-102.351225,19.093081,"gbif",NA,"1978284556"
"188","Argia pulla Hagen, 1865",-102.342975,19.076229,"gbif",NA,"1978282240"
"189","Argia pulla Hagen, 1865",-102.23584,19.141754,"gbif",2020-12-18,"3018096218"
"190","Argia pulla Hagen, 1865",-102.225833,19.059167,"gbif",NA,"2629041049"
"191","Argia pulla Hagen, 1865",-101.832024,19.19427,"gbif",NA,"1978284550"
"192","BOLD:AEJ5793",-101.554,23.8744,"gbif",2005-04-03,"2249884056"
"193","Argia pulla Hagen, 1865",-101.525157,17.653462,"gbif",2021-02-27,"3455663127"
"194","Argia pulla Hagen, 1865",-101.119,19.2405,"gbif",1988-06-03,"4169059075"
"195","Argia pulla Hagen, 1865",-100.897,18.6269,"gbif",1988-06-03,"4168970175"
"196","Argia pulla Hagen, 1865",-100.583293,18.667575,"gbif",2020-08-01,"2629041441"
"197","Argia pulla Hagen, 1865",-100.43553,18.781114,"gbif",2020-08-01,"2629041157"
"198","Argia pulla Hagen, 1865",-100.39917,18.31778,"gbif",1980-07-14,"4168977539"
"199","Argia pulla Hagen, 1865",-100.307231,18.810817,"gbif",2020-08-01,"2629041283"
"200","Argia pulla Hagen, 1865",-100.265731,18.838688,"gbif",2020-08-01,"2629040708"
"201","Argia pulla Hagen, 1865",-100.218136,25.678002,"gbif",2021-07-17,"3384621831"
"202","Argia pulla Hagen, 1865",-100.134466,25.398343,"gbif",2016-09-29,"1571066104"
"203","Argia pulla Hagen, 1865",-99.952303,19.717768,"gbif",2020-08-01,"2629041676"
"204","Argia pulla Hagen, 1865",-99.464,17.3616,"gbif",1987-03-27,"4168969569"
"205","Argia pulla Hagen, 1865",-99.46289,17.35819,"gbif",2009-04-04,"4168958052"
"206","Argia pulla Hagen, 1865",-99.395855,21.948738,"gbif",2019-07-17,"2294661749"
"207","Argia pulla Hagen, 1865",-99.394975,21.949142,"gbif",2019-07-17,"2294662309"
"208","Argia pulla Hagen, 1865",-99.358664,18.724064,"gbif",NA,"2629043049"
"209","Argia pulla Hagen, 1865",-99.349299,18.772402,"gbif",NA,"2629041761"
"210","Argia pulla Hagen, 1865",-99.346163,18.5747,"gbif",2018-08-05,"1891327687"
"211","Argia pulla Hagen, 1865",-99.342153,18.617424,"gbif",NA,"2629043072"
"212","Argia pulla Hagen, 1865",-99.30293,18.583009,"gbif",NA,"2629041435"
"213","Argia pulla Hagen, 1865",-99.302845,18.582631,"gbif",1985-05-15,"2629042865"
"214","Argia pulla Hagen, 1865",-99.295183,18.611922,"gbif",2017-08-26,"3039370317"
"215","Argia pulla Hagen, 1865",-99.279736,18.834031,"gbif",NA,"2629042852"
"216","Argia pulla Hagen, 1865",-99.27588,18.549425,"gbif",2020-07-01,"2629042151"
"217","Argia pulla Hagen, 1865",-99.270833,18.559444,"gbif",2001-05-23,"2629315836"
"218","Argia pulla Hagen, 1865",-99.268823,18.54688,"gbif",2009-06-19,"4413397646"
"219","Argia pulla Hagen, 1865",-99.258736,18.735288,"gbif",NA,"2629041580"
"220","Argia pulla Hagen, 1865",-99.246284,18.766091,"gbif",NA,"2629042269"
"221","Argia pulla Hagen, 1865",-99.242917,18.699898,"gbif",NA,"2629041281"
"222","Argia pulla Hagen, 1865",-99.236944,18.562222,"gbif",2002-04-04,"2629310685"
"223","Argia pulla Hagen, 1865",-99.236031,18.560653,"gbif",NA,"2629043004"
"224","Argia pulla Hagen, 1865",-99.2341,18.8065,"gbif",1965-08-01,"1319023980"
"225","Argia pulla Hagen, 1865",-99.2319,18.7636,"gbif",NA,"1317282086"
"226","Argia pulla Hagen, 1865",-99.229722,18.781667,"gbif",2002-10-03,"2629307041"
"227","Argia pulla Hagen, 1865",-99.21499,17.41291,"gbif",1987-03-29,"4168977546"
"228","Argia pulla Hagen, 1865",-99.180556,18.5775,"gbif",1981-09-12,"2629164123"
"229","Argia pulla Hagen, 1865",-99.180278,18.614722,"gbif",1981-10-08,"2629163955"
"230","Argia pulla Hagen, 1865",-99.155456,16.818195,"gbif",2022-01-11,"4407287461"
"231","Argia pulla Hagen, 1865",-99.15,17.4333,"gbif",1983-06-26,"4169071113"
"232","Argia pulla Hagen, 1865",-99.1325,18.055,"gbif",NA,"2629041029"
"233","Argia pulla Hagen, 1865",-99.119539,18.728682,"gbif",2019-12-11,"2596442958"
"234","Argia pulla Hagen, 1865",-99.112124,18.731607,"gbif",NA,"2629041356"
"235","Argia pulla Hagen, 1865",-99.100068,18.560945,"gbif",NA,"2629041797"
"236","Argia pulla Hagen, 1865",-99.097197,18.823568,"gbif",NA,"2629041882"
"237","Argia pulla Hagen, 1865",-99.062423,18.88306,"gbif",NA,"2629042112"
"238","Argia pulla Hagen, 1865",-99.03374,18.45019,"gbif",1996-01-14,"4168889541"
"239","Argia pulla Hagen, 1865",-99.025,18.905278,"gbif",2001-03-17,"2629311576"
"240","Argia pulla Hagen, 1865",-99.020718,18.90756,"gbif",NA,"2629042136"
"241","Argia pulla Hagen, 1865",-99.0197,18.51,"gbif",1996-08-01,"4169168586"
"242","Argia pulla Hagen, 1865",-99.0186,21.9869,"gbif",2007-07-05,"4169070524"
"243","Argia pulla Hagen, 1865",-99.009863,18.633084,"gbif",NA,"2629041860"
"244","Argia pulla Hagen, 1865",-98.996111,18.620556,"gbif",2002-10-04,"2629307393"
"245","Argia pulla Hagen, 1865",-98.995466,18.621684,"gbif",1996-10-25,"2629315525"
"246","Argia pulla Hagen, 1865",-98.98348,18.45018,"gbif",1995-11-17,"4168972522"
"247","Argia pulla Hagen, 1865",-98.98348,18.46668,"gbif",1995-11-17,"4169118568"
"248","Argia pulla Hagen, 1865",-98.98348,18.46685,"gbif",1995-11-17,"4169052587"
"249","Argia pulla Hagen, 1865",-98.981944,18.884167,"gbif",2002-04-03,"2629308419"
"250","Argia pulla Hagen, 1865",-98.981111,21.451667,"gbif",1999-08-18,"1895794131"
"251","Argia pulla Hagen, 1865",-98.9811,21.45166,"gbif",1999-08-18,"4168977730"
"252","Argia pulla Hagen, 1865",-98.9731,18.463,"gbif",1996-08-08,"4168982420"
"253","Argia pulla Hagen, 1865",-98.968333,21.719167,"gbif",1999-08-21,"1895794074"
"254","Argia pulla Hagen, 1865",-98.96689,18.46687,"gbif",1995-11-20,"4168896519"
"255","Argia pulla Hagen, 1865",-98.934747,18.716213,"gbif",NA,"2629042319"
"256","Argia pulla Hagen, 1865",-98.787844,18.524697,"gbif",1986-11-07,"2629041117"
"257","Argia pulla Hagen, 1865",-98.781837,18.514201,"gbif",NA,"2629041470"
"258","Argia pulla Hagen, 1865",-98.45,20.4,"gbif",1957-08-31,"1932447180"
"259","Argia pulla Hagen, 1865",-98.386305,21.162044,"gbif",2021-10-24,"3408160834"
"260","Argia pulla Hagen, 1865",-98.38,20.52,"gbif",1957-08-31,"1932447848"
"261","Argia pulla Hagen, 1865",-98.379456,21.150879,"gbif",2021-10-24,"3399022411"
"262","Argia pulla Hagen, 1865",-97.990959,17.642262,"gbif",2017-06-20,"2629785474"
"263","Argia pulla Hagen, 1865",-97.971973,20.276746,"gbif",NA,"2629040323"
"264","Argia pulla Hagen, 1865",-97.962675,20.514044,"gbif",2020-02-10,"2629040681"
"265","Argia pulla Hagen, 1865",-97.918333,21.156667,"gbif",1965-09-09,"1894803277"
"266","Argia pulla Hagen, 1865",-97.862865,20.238589,"gbif",NA,"2629041826"
"267","Argia pulla Hagen, 1865",-97.853,20.2489,"gbif",2002-05-04,"4168982945"
"268","Argia pulla Hagen, 1865",-97.84,20.5,"gbif",1957-08-31,"1932447175"
"269","Argia pulla Hagen, 1865",-97.78,21.97,"gbif",1957-08-09,"1932447281"
"270","Argia pulla Hagen, 1865",-97.74,21.86,"gbif",1957-08-09,"1932447874"
"271","Argia pulla Hagen, 1865",-97.7363,20.455,"gbif",1957-08-31,"1932447251"
"272","Argia pulla Hagen, 1865",-97.73,21.92,"gbif",1957-08-09,"1932447876"
"273","Argia pulla Hagen, 1865",-97.499778,20.946789,"gbif",2012-09-15,"3391353305"
"274","Argia pulla Hagen, 1865",-96.9908,18.9012,"gbif",1957-08-15,"1932447854"
"275","Argia pulla Hagen, 1865",-96.947883,17.754777,"gbif",2023-07-25,"4405119568"
"276","Argia pulla Hagen, 1865",-96.94444,17.77222,"gbif",1998-03-25,"4169055390"
"277","Argia pulla Hagen, 1865",-96.9444,17.77222,"gbif",1998-04-22,"4168896444"
"278","Argia pulla Hagen, 1865",-96.926667,19.373333,"gbif",1983-07-25,"1894803169"
"279","Argia pulla Hagen, 1865",-96.91167,17.64833,"gbif",1998-01-23,"4169118449"
"280","Argia pulla Hagen, 1865",-96.91167,17.64889,"gbif",1998-01-22,"4168892530"
"281","Argia pulla Hagen, 1865",-96.910988,17.648398,"gbif",NA,"2629041285"
"282","Argia pulla Hagen, 1865",-96.854448,18.852338,"gbif",1976-08-12,"1894803199"
"283","Argia pulla Hagen, 1865",-96.8104,19.2083,"gbif",1957-08-31,"1932447106"
"284","Argia pulla Hagen, 1865",-96.809046,18.835939,"gbif",1976-08-12,"1894803159"
"285","Argia pulla Hagen, 1865",-96.787448,19.207177,"gbif",NA,"1978282687"
"286","Argia pulla Hagen, 1865",-96.7837,19.2245,"gbif",1957-08-11,"1932447850"
"287","Argia pulla Hagen, 1865",-96.766667,18.9,"gbif",NA,"1894803195"
"288","Argia pulla Hagen, 1865",-96.7228,18.8119,"gbif",NA,"1322871623"
"289","Argia pulla Hagen, 1865",-96.716667,18.8,"gbif",1965-07-24,"1894803225"
"290","Argia pulla Hagen, 1865",-96.653,19.4028,"gbif",1965-07-23,"1318146351"
"291","Argia pulla Hagen, 1865",-96.633333,19.383333,"gbif",1980-05-04,"1894803152"
"292","Argia pulla Hagen, 1865",-96.612281,15.698608,"gbif",2024-01-29,"4519102962"
"293","Argia pulla Hagen, 1865",-96.608592,15.700483,"gbif",2019-04-11,"2237428182"
"294","Argia pulla Hagen, 1865",-96.509705,17.13496,"gbif",NA,"1978284508"
"295","Argia pulla Hagen, 1865",-96.48483,19.32353,"gbif",1975-09-30,"1060948496"
"296","Argia pulla Hagen, 1865",-96.4815,19.3292,"gbif",1966-07-31,"1317473428"
