"","Longitude","Latitude"
"545",-83.643799,9.85882
"546",-83.595925,8.482433
"551",-83.588631,8.474503
"553",-83.570341,8.708033
"554",-83.566714,8.679096
"555",-83.518303,8.674845
"556",-83.494078,8.55971
"557",-83.476015,8.618763
"558",-83.397802,8.546089
"559",-83.3477,9.18566
"560",-83.326786,10.03535
"562",-83.322201,10.047698
"563",-83.306717,8.527226
"564",-83.296211,8.376746
"569",-83.20158,8.701463
"572",-83.192,8.701
"573",-83.077869,8.609298
"574",-83.051187,9.831517
"575",-83.029031,8.861163
"576",-83.027702,9.671765
"580",-82.96538,9.717123
"582",-82.93959,8.623727
"584",-82.87075,9.641233
"585",-82.640282,8.519111
"586",-82.557142,9.434834
"587",-82.448195,8.341
"588",-82.437977,8.402432
"589",-82.429181,8.485416
"591",-82.421392,8.388177
"596",-82.42008,8.447056
"597",-82.406297,8.562229
"598",-82.337051,8.428612
"599",-82.16773,8.865297
"600",-81.438886,8.141746
"602",-81.327033,8.014305
"604",-81.324977,7.991103
"605",-81.324459,8.004493
"606",-81.32254,8.061013
"611",-81.314438,8.010961
"612",-81.313995,8.001418
"615",-81.29814,7.765303
"616",-81.265263,7.8796
"617",-81.232521,8.056598
"618",-81.21798,8.036489
"619",-81.053906,8.545166
"620",-80.990461,8.097924
"621",-80.968427,8.111721
"623",-80.960788,7.609455
"625",-80.960067,7.592687
"626",-80.931467,7.995375
"627",-80.906289,8.228617
"628",-80.778895,7.336413
"629",-80.643791,8.167399
"630",-80.52302,8.487755
"631",-80.49478,8.430665
"632",-80.267456,7.461011
"633",-80.239442,8.304287
"634",-80.225014,8.367158
"635",-80.20368,8.531301
"637",-80.179486,8.347012
"639",-80.144987,8.59722
"641",-80.126926,8.605667
"642",-80.111293,8.614695
"643",-79.874166,0.238889
"644",-79.789587,9.308407
"645",-79.743687,-3.651631
"646",-79.715486,9.129154
"647",-79.704119,9.120981
"651",-79.692707,9.117988
"655",-79.656512,9.553584
"657",-79.64976,9.06144
"659",-79.636932,8.941127
"661",-79.63575,9.047122
"666",-79.594925,9.011039
"667",-79.59003,8.903983
"669",-79.587145,9.004587
"670",-79.582561,9.038228
"671",-79.581772,8.897522
"672",-79.571059,9.013329
"674",-79.564875,9.103418
"677",-79.561333,8.979464
"683",-79.551134,8.98478
"688",-79.528572,9.04076
"689",-79.52797,9.019778
"690",-79.487616,9.03909
"691",-79.48,9.047778
"692",-79.476783,9.034314
"693",-79.47494,9.00765
"694",-79.472787,9.059345
"695",-79.431071,9.109655
"696",-79.413273,9.167011
"697",-79.395482,9.069544
"698",-79.3813,9.08938
"699",-79.263145,9.118334
"700",-79.176,-0.25339
"701",-78.9653,9.33081
"702",-78.9646,9.42967
"703",-78.956,9.22012
"704",-78.9333,9.3333
"705",-78.928824,9.1088
"706",-78.795477,9.178495
"708",-78.753035,9.022432
"717",-78.466644,8.952511
"722",-78.39867,8.92173
"723",-78.3927,8.942367
"725",-78.382243,8.894583
"726",-78.380853,8.822025
"727",-78.37,8.05
"728",-77.977717,8.509019
"730",-77.878284,8.393949
"731",-77.734385,8.205326
"732",-77.732977,8.10771
"733",-77.7071,-1.04353
"734",-77.4839,8.2347
"735",-77.2828,-0.49924
"736",-76.9118,0.11304
"737",-76.6683,-0.18212
"738",-76.6623,-0.33944
"739",-76.6,-0.4
"740",-76.536945,3.331949
"741",-76.536857,3.362546
"743",-76.533646,3.347339
"744",-76.52396,3.350201
"745",-76.31372,3.68549
"746",-76.303611,3.539444
"748",-76.142472,5.340855
"749",-75.920548,4.846999
"750",-75.79153,4.453588
"751",-75.232187,2.85709
"752",-74.705224,5.373887
"753",-73.7863,2.18255
"810",-73.58064,4.07458
"812",-73.5656,4.26025
"813",-73.054504,7.038047
"814",-70.3525,8.7181
"815",-69.6302,9.10662
"816",-68.661111,10.485556
"817",-67.7642,10.4833
"818",-67.6305,10.2687
"819",-67.5593,5.56174
"820",-67.35,9.92
"821",-66,7.43389
"822",-64.7206,7.58389
"824",-63.7932,10.1625
"825",-62.9205,10.5938
"826",-62.5539,8.31172
"827",-62.479,10.719
"829",-62.4077,8.10894
"830",-61.8,10.12
"831",-61.63,10.23
"832",-61.508563,10.660317
"833",-61.4529,10.3302
"834",-61.409931,10.520006
"835",-61.4055,10.6372
"836",-61.4,10.65
"837",-61.3995,10.7079
"838",-61.3881,10.6511
"839",-61.325577,10.687767
"840",-61.32,10.8
"841",-61.28,10.52
"842",-61.265209,10.55789
"843",-61.2635,10.5713
"844",-61.250847,10.657848
"845",-61.227665,10.664488
"846",-61.22,10.65
"847",-61.2,10.6
"848",-61.1918,10.6188
"849",-61.1904,10.6908
"850",-61.048538,10.830187
"851",-60.99501,10.834887
"852",-60.735126,11.185138
"853",-60.694378,11.279217
"854",-60.6489,11.2981
"855",-60.63,11.3
"856",-60.58,11.28
"857",-60.57,11.32
"858",-60.55,11.27
"859",-60.55,11.28
"860",-60.53,11.3
"861",-59.7135,4.6992
"862",-59.675,3.3517
"863",-59.675,3.6117
"864",-59.65,3.3033
"866",-59.503175,2.947686
