"","longitude","latitude"
"315",-86.2377,12.9698
"316",-85.899965,14.85586
"317",-85.847088,14.836952
"318",-85.837106,10.299275
"319",-85.7936,12.4116
"320",-85.766655,10.264444
"321",-85.731015,10.901925
"322",-85.692738,10.554318
"323",-85.662055,10.315643
"324",-85.593506,11.121939
"325",-85.588536,10.557471
"326",-85.573539,10.865507
"327",-85.52754,11.034298
"328",-85.488803,10.95262
"329",-85.4816,11.48965
"330",-85.472152,10.040922
"331",-85.370957,10.505513
"332",-85.351913,10.776784
"333",-85.344376,10.344775
"334",-85.344,10.789469
"335",-85.334297,10.383413
"336",-85.32294,10.75899
"337",-85.3191,10.768403
"338",-85.298157,10.524406
"339",-85.28833,9.883763
"340",-85.269037,10.215966
"341",-85.253621,10.509967
"342",-85.2517,10.5445
"343",-85.249062,15.067735
"344",-85.196517,10.674578
"345",-85.1782,10.3496
"346",-85.173634,12.212398
"347",-85.143272,10.455075
"348",-85.137435,9.9572
"349",-85.12763,10.45062
"350",-84.928404,10.688262
"351",-84.917618,10.162082
"352",-84.852611,10.161943
"353",-84.85235,10.146932
"354",-84.850918,10.450229
"355",-84.7338,10.0219
"356",-84.721155,10.452553
"357",-84.714692,10.485168
"358",-84.7122,9.99046
"359",-84.703179,10.462626
"360",-84.65257,10.469813
"361",-84.640681,10.454372
"362",-84.608974,9.756158
"363",-84.57756,9.7935
"364",-84.553668,9.780163
"365",-84.3803,9.97833
"366",-84.352986,10.99205
"367",-84.340086,10.975024
"368",-84.243975,9.914933
"369",-84.219872,10.676107
"370",-84.206772,10.703792
"371",-84.202846,9.454288
"372",-84.154327,9.410379
"373",-83.919943,10.178699
"374",-83.840521,10.198481
"375",-83.755758,9.152477
"376",-83.7519,9.8867
"377",-83.739485,9.156164
"378",-83.736267,9.173945
"379",-83.726457,8.638229
"380",-83.7245,9.33052
"381",-83.6744,9.91378
"382",-83.667886,8.642972
"383",-83.657,9.87405
"384",-83.65,9.9
"385",-83.643799,9.85882
"386",-83.595925,8.482433
"387",-83.588631,8.474503
"388",-83.570341,8.708033
"389",-83.566714,8.679096
"390",-83.518303,8.674845
"391",-83.494078,8.55971
"392",-83.476015,8.618763
"393",-83.397802,8.546089
"394",-83.3477,9.18566
"395",-83.326786,10.03535
"396",-83.322201,10.047698
"397",-83.306717,8.527226
"398",-83.296211,8.376746
"399",-83.20158,8.701463
"400",-83.192,8.701
"401",-83.077869,8.609298
"402",-83.051187,9.831517
"403",-83.029031,8.861163
"404",-83.027702,9.671765
"405",-82.96538,9.717123
"406",-82.93959,8.623727
"407",-82.87075,9.641233
"408",-82.640282,8.519111
"409",-82.557142,9.434834
"410",-82.448195,8.341
"411",-82.437977,8.402432
"412",-82.429181,8.485416
"413",-82.421392,8.388177
"414",-82.42008,8.447056
"415",-82.406297,8.562229
"416",-82.337051,8.428612
"417",-82.16773,8.865297
"418",-81.438886,8.141746
